headline,web_url,pub_date,byline,section,full_text
Trump Says He May Cut Aid to Jordan and Egypt if They Don’t Take Gazans,https://www.nytimes.com/2025/02/10/us/politics/trump-jordan-egypt-gaza-development.html,2025-02-11T00:03:12+0000,By Zolan Kanno-Youngs and Shawn McCreesh,U.S.,
Police Arrest 13 After Protesters Occupied Stanford President’s Office,https://www.nytimes.com/2024/06/05/us/stanford-protest-israel-gaza.html,2024-06-05T15:23:50+0000,By Heather Knight,U.S.,
The Hate That Doesn’t Know Its Own Name,https://www.nytimes.com/2023/11/14/opinion/antisemitism-israel-lipstadt.html,2023-11-15T00:00:08+0000,By Bret Stephens,Opinion,
"Netanyahu, Defiant, Appears to Have Gone Rogue, Risking a Regional War",https://www.nytimes.com/2024/08/02/world/europe/israel-defiant-gaza-war.html,2024-08-02T16:12:38+0000,By Steven Erlanger,World,
"As U.S. Rushes to Build Gaza Port, Major Challenges Loom",https://www.nytimes.com/2024/03/09/world/middleeast/us-gaza-aid-port-israel.html,2024-03-09T19:50:38+0000,By Aaron Boxerman and Victoria Kim,World,
"At Berkeley, a Protest at a Dean’s Home Tests the Limits of Free Speech",https://www.nytimes.com/2024/04/12/us/uc-berkeley-palestinian-protest-free-speech.html,2024-04-12T18:21:43+0000,By Vimal Patel,U.S.,
Multiple past attempts to broker unity have failed.,https://www.nytimes.com/2024/07/23/world/middleeast/fatah-hamas-china-statement.html,2024-07-23T12:13:25+0000,By Adam Rasgon and Alexandra Stevenson,World,
Hamas Elevates Gaza Leader Who Planned Oct. 7 Attacks to Top Post,https://www.nytimes.com/2024/08/06/world/middleeast/hamas-yahya-sinwar-promoted.html,2024-08-06T22:52:42+0000,"By Adam Rasgon, Aaron Boxerman, Euan Ward and Michael Levenson",World,
Dignified burials have become another casualty in Gaza.,https://www.nytimes.com/2024/01/07/world/middleeast/dignified-burials-have-become-another-casualty-in-gaza.html,2024-01-07T07:35:06+0000,By Raja Abdulrahim,World,
Why the World’s Biggest Powers Can’t Stop a Middle East War,https://www.nytimes.com/2024/09/29/world/middleeast/middle-east-war-peace-nasrallah.html,2024-09-29T09:04:37+0000,By Roger Cohen,World,
Nearly Half of Gaza’s Population Displaced in Humanitarian Crisis,https://www.nytimes.com/2023/10/14/world/middleeast/gaza-palestinians-displaced.html,2023-10-14T15:08:44+0000,By Raja Abdulrahim,World,
Two Hospitals in Southern Gaza Are Left Barely Functioning,https://www.nytimes.com/2024/02/19/world/middleeast/israel-gaza-hospitals.html,2024-02-19T20:31:24+0000,By Vivian Yee,World,
The War in Gaza Turned This Longtime Michigan Democrat Against Biden,https://www.nytimes.com/2024/02/26/us/politics/israel-gaza-biden-michigan-democrats.html,2024-02-26T10:06:01+0000,By Jennifer Medina,U.S.,
"Taking Cues From Students, U.C.L.A. Faculty Members Join the Protests",https://www.nytimes.com/2024/05/02/us/columbia-protests-professors-support.html,2024-05-02T23:59:30+0000,By Anemona Hartocollis,U.S.,
Xi-Schumer Meeting Raises Hopes of Smoother U.S.-China Relations,https://www.nytimes.com/2023/10/09/world/asia/xi-schumer-meeting-china-us.html,2023-10-09T13:56:47+0000,By David Pierson and Vivian Wang,World,
"Ta-Nehisi Coates Returns to the Political Fray, Calling Out Injustice",https://www.nytimes.com/2024/09/29/books/review/ta-nehisi-coates-the-message.html,2024-09-29T09:02:39+0000,By Jennifer Szalai,Books,
Sanitation Crisis in Gaza Spreads Disease,https://www.nytimes.com/2024/02/24/world/middleeast/gaza-sanitation-crisis.html,2024-02-24T10:02:13+0000,By Raja Abdulrahim,World,
This Is Who Kamala Harris Fails,https://www.nytimes.com/2024/08/28/opinion/kamala-harris-gaza-israel-war.html,2024-08-28T09:06:45+0000,By Hala Alyan,Opinion,
University of Wisconsin-Milwaukee and Protesters Agree to End Encampment,https://www.nytimes.com/2024/05/12/us/university-wisconsin-milwaukee-protests-encampment.html,2024-05-13T05:43:45+0000,By Dan Simmons,U.S.,
"In Michigan, Muslim and Arab American Voters Reconsider Support for Biden",https://www.nytimes.com/2023/10/28/us/michigan-democrats-biden-palestinian.html,2023-10-28T13:16:53+0000,By Julie Bosman and Ernesto Londoño,U.S.,
"On Columbia’s Lawn, the Curtain Rises on a Day of Political Theater",https://www.nytimes.com/2024/04/24/nyregion/gaza-campus-protests-columbia-university.html,2024-04-24T23:16:35+0000,By Andy Newman,New York,
"In Campus Protests Over Gaza, Echoes of Outcry Over Vietnam",https://www.nytimes.com/2023/12/24/us/gaza-vietnam-student-protest.html,2023-12-24T10:01:43+0000,By Michael Wines,U.S.,
"Hamas Rejects Cease-Fire Proposal, Dashing Biden’s Hopes of Near-Term Deal",https://www.nytimes.com/2024/02/27/world/middleeast/biden-israel-hamas-cease-fire.html,2024-02-28T00:00:15+0000,"By Aaron Boxerman, Hwaida Saad, Raja Abdulrahim and Michael Levenson",World,
"‘I Love You. I Am Sorry’: One Jew, One Muslim and a Friendship Tested by War",https://www.nytimes.com/2023/10/21/us/jewish-muslim-communities-israel-hamas-war.html,2023-10-21T09:02:27+0000,By Kurt Streeter,U.S.,
Harvard Task Forces Find Climate of Bias for Both Jewish and Muslim Groups,https://www.nytimes.com/2024/06/26/us/harvard-antisemitism-muslim-bias.html,2024-06-26T17:52:06+0000,By Anemona Hartocollis,U.S.,
How a 6-Second Video Turned a Campus Protest Into a National Firestorm,https://www.nytimes.com/2023/12/18/nyregion/cooper-union-pro-palestinian-protest.html,2023-12-18T08:00:29+0000,By Sharon Otterman,New York,
Phone and Internet Service in Gaza Is Down for a Seventh Day,https://www.nytimes.com/2024/01/17/world/middleeast/gaza-telecom-blackout.html,2024-01-17T16:34:34+0000,By Anushka Patil and Adam Rasgon,World,
"At Brown, a Rare Agreement Between Administrators and Protesters",https://www.nytimes.com/2024/04/30/us/brown-divestment-deal.html,2024-04-30T22:30:55+0000,By Jacey Fortin,U.S.,
The Horror Show of Hamas Must End Now,https://www.nytimes.com/2025/02/11/opinion/trump-hamas-gaza-israel.html,2025-02-11T22:00:04+0000,By Bret Stephens,Opinion,
"Watching ‘Shoah’ in Berlin, 80 Years After Auschwitz",https://www.nytimes.com/2025/02/17/movies/shoah-berlin-film-festival-claude-lanzmann.html,2025-02-17T17:36:09+0000,By Beatrice Loayza,Movies,
A Chill Has Been Cast Over the Book World,https://www.nytimes.com/2023/10/18/opinion/frankfurt-palestine-war-israel.html,2023-10-18T09:03:53+0000,By Pamela Paul,Opinion,
6 Inaccurate Claims Trump Has Used to Justify His Flurry of Orders,https://www.nytimes.com/2025/02/06/us/politics/trump-executive-orders-fact-check.html,2025-02-06T10:01:50+0000,By Linda Qiu and Jamie Leventhal,U.S.,
A Common Link in Mideast Conflicts: Iran and Its Proxies,https://www.nytimes.com/2024/03/29/world/middleeast/iran-syria-strike-proxies.html,2024-03-29T12:48:46+0000,By Cassandra Vinograd,World,
Netanyahu Orders Evacuation Plan for City Where a Million Gazans Shelter,https://www.nytimes.com/2024/02/09/world/middleeast/israel-netanyahu-military-rafah.html,2024-02-10T00:00:51+0000,"By Aaron Boxerman, Iyad Abuheweila, Hiba Yazbek and Michael Levenson",World,
Federal Civil Rights Investigation Opened Into Antisemitism at Harvard,https://www.nytimes.com/2023/11/29/us/harvard-antisemitism-civil-rights-investigation.html,2023-11-29T21:45:10+0000,By Anemona Hartocollis,U.S.,
The Rescuers,https://www.nytimes.com/2023/11/22/opinion/israel-palestinians-arabs.html,2023-11-22T05:01:32+0000,By Thomas L. Friedman,Opinion,
Scenes of Protests at College Campuses,https://www.nytimes.com/2024/04/22/nyregion/college-campus-protests-photos-yale-columbia.html,2024-04-22T19:14:44+0000,By The New York Times and Troy Closson,New York,
"Frozen U.S. Spending for U.N. in Gaza Is Minimal, State Dept. Says",https://www.nytimes.com/2024/01/30/us/politics/aid-gaza-israel.html,2024-01-31T00:44:21+0000,By Michael Crowley,U.S.,
"War Intensifies in Southern Gaza, Where Civilians Say No Place Is Safe",https://www.nytimes.com/2023/12/05/world/middleeast/israel-hamas-gaza-khan-younis.html,2023-12-06T00:00:19+0000,"By Matthew Mpoke Bigg, Ben Hubbard and Michael Levenson",World,
San Francisco Jewish Museum Has a Blank Space for Dissenting Artists,https://www.nytimes.com/2024/06/06/arts/design/sanfrancisco-jewish-museum-blank.html,2024-06-06T09:04:14+0000,By Marc Tracy,Arts,
Starvation Is Stalking Gaza’s Children,https://www.nytimes.com/2024/02/29/opinion/gaza-israel-palestinians-starvation.html,2024-02-29T10:03:23+0000,By Megan K. Stack,Opinion,
"U.N. Shelter in Besieged Khan Younis Is Struck, and at Least 9 Die",https://www.nytimes.com/2024/01/24/world/middleeast/israel-gaza-shelter-strike.html,2024-01-25T01:00:16+0000,"By Hiba Yazbek, Ameera Harouda and Michael Levenson",World,
A Whisperer to the Stars on the Middle East Conflict,https://www.nytimes.com/2024/11/02/business/media/hen-mazzig-hollywood-israel-gaza.html,2024-11-02T09:00:41+0000,By Nicole Sperling,Business Day,
"As Gaza Losses Mount Under Strikes, Dignified Burials Are Another Casualty",https://www.nytimes.com/2024/01/06/world/middleeast/gaza-israel-burials-deaths.html,2024-01-06T10:00:29+0000,"By Raja Abdulrahim, Samar Abu Elouf and Yousef Masoud",World,
‘God Is Under the Rubble in Gaza’: Bethlehem’s Subdued Christmas,https://www.nytimes.com/2023/12/23/world/middleeast/israel-gaza-bethlehem-christmas.html,2023-12-23T13:12:29+0000,By Yara Bayoumy and Samar Hazboun,World,
"Half of Gazans Are at Risk of Starving, U.N. Warns",https://www.nytimes.com/2024/01/01/world/middleeast/gaza-israel-hunger.html,2024-01-01T05:01:23+0000,"By Liam Stack, Gaya Gupta and Abu Bakr Bashir",World,
New York City Schools Will Teach About Antisemitism and Islamophobia,https://www.nytimes.com/2024/01/22/nyregion/nyc-schools-antisemitism-islamophobia-education.html,2024-01-22T22:14:18+0000,By Troy Closson,New York,
"As Seinfeld Receives Honorary Degree at Duke, Students Walk Out in Protest",https://www.nytimes.com/2024/05/12/us/jerry-seinfeld-duke-students-walk-out-protest.html,2024-05-12T15:41:02+0000,By Eduardo Medina and Emily Cataneo,U.S.,
Nervous Democrats Press Biden on Gaza Ahead of State of the Union,https://www.nytimes.com/2024/03/07/us/politics/biden-gaza.html,2024-03-07T10:05:52+0000,By Jonathan Weisman,U.S.,
Harris Says Hamas Leader’s Killing Offers Chance to End Gaza War,https://www.nytimes.com/2024/10/17/us/politics/harris-yahya-sinwar-hamas-israel-gaza.html,2024-10-17T18:32:07+0000,By Katie Rogers and Reid J. Epstein,U.S.,
Six Members of My Family Are Hostages in Gaza. Does Anyone Care?,https://www.nytimes.com/2023/11/05/opinion/israel-palestinians-hostage-silence.html,2023-11-05T14:00:14+0000,By Alana Zeitchik,Opinion,
Columbia President Is Next to Be Grilled About Antisemitism by Congress,https://www.nytimes.com/2024/04/16/nyregion/columbia-university-congress-antisemitism-hearing.html,2024-04-16T07:00:10+0000,By Sharon Otterman,New York,
"In Trump’s Cross Hairs Over Taking Gazans, Egypt and Jordan Try Diversion",https://www.nytimes.com/2025/02/12/world/middleeast/trump-gaza-egypt-jordan.html,2025-02-12T11:20:30+0000,By Vivian Yee and Alissa J. Rubin,World,
Students Walk Out in Protest at Harvard Commencement,https://www.nytimes.com/2024/05/23/us/harvard-graduation-protests-antisemitism.html,2024-05-23T09:04:48+0000,"By Maya Shwayder, Jenna Russell and Anemona Hartocollis",U.S.,
Protesters Denounce Netanyahu’s Speech to Congress and Some Clash With Police,https://www.nytimes.com/2024/07/24/world/middleeast/netanyahu-speech-protests-congress.html,2024-07-24T17:52:26+0000,"By Maya C. Miller, Robert Jimison and Luke Broadwater",World,
Ralph Nader Assails Law Firm’s Vow to Exclude Some Campus Protesters,https://www.nytimes.com/2024/07/30/business/sullivan-cromwell-israel-protests.html,2024-07-30T21:39:07+0000,By Emily Flitter,Business Day,
Police Clear Tents and Arrest N.Y.U. and New School Protesters,https://www.nytimes.com/2024/05/03/us/nyu-new-school-protest-arrests.html,2024-05-03T15:38:06+0000,"By Maia Coleman, Olivia Bensimon and Bernard Mokam",U.S.,
Dave Chappelle and the Perils of Button-Pushing Comedy,https://www.nytimes.com/2023/10/26/arts/television/dave-chappelle-button-pushing-comedy.html,2023-10-26T21:02:32+0000,By Jason Zinoman,Arts,
Candidates Accuse Student Protesters of ‘Siding With Hamas’,https://www.nytimes.com/2023/11/08/us/politics/israel-college-campuses-hamas.html,2023-11-09T03:13:22+0000,By Anjali Huynh,U.S.,
"6-Year-Old Boy Fatally Stabbed in Anti-Muslim Attack, Authorities Say",https://www.nytimes.com/2023/10/15/us/muslim-boy-stabbed-landlord-chicago.html,2023-10-15T21:05:32+0000,"By Johnny Diaz, Mitch Smith and Robert Chiarito",U.S.,
"As Revelers Gather for the New Year’s Eve Ball Drop, N.Y.C. Officials Are on Alert",https://www.nytimes.com/2023/12/29/nyregion/new-years-eve-times-square-security.html,2023-12-29T21:55:27+0000,By Hurubie Meko and Chelsia Rose Marcius,New York,
Nicole Eisenman at the Tipping Point,https://www.nytimes.com/2024/09/07/arts/design/nicole-eisenman-fixed-crane.html,2024-09-07T09:00:39+0000,By Zachary Small and Mark Sommerfeld,Arts,
"As Gazans Scrounge for Food and Water, Hamas Sits on a Rich Trove of Supplies",https://www.nytimes.com/2023/10/27/world/middleeast/palestine-gazans-hamas-food.html,2023-10-27T17:27:47+0000,By Matthew Rosenberg and Maria Abi-Habib,World,
What Is Happening on College Campuses Is Not Free Speech,https://www.nytimes.com/2023/11/03/opinion/antisemitism-jews-campus.html,2023-11-03T09:02:49+0000,"By Gabriel Diamond, Talia Dror and Jillian Lederman",Opinion,
Antisemitism Accusations Against Staff Pose Dilemma for School Leaders,https://www.nytimes.com/2024/05/15/nyregion/faculty-teacher-discipline-antisemitism.html,2024-05-15T07:00:28+0000,By Troy Closson,New York,
Head of an Elite New York School Resigns After Turmoil Over Gaza War,https://www.nytimes.com/2024/08/01/nyregion/ethical-culture-fieldston-school-resignation.html,2024-08-01T22:26:07+0000,By Katherine Rosman,New York,
They Had Just Delivered Tons of Food. Then Their Convoy Was Hit.,https://www.nytimes.com/2024/04/03/world/middleeast/israel-world-central-kitchen-gaza.html,2024-04-03T20:18:09+0000,"By Cassandra Vinograd, Abu Bakr Bashir, Riley Mellen, Aaron Boxerman and Aric Toler",World,
Student Editorial Boards Rebuke College Officials for Protest Decisions,https://www.nytimes.com/2024/04/23/us/college-protest-editorial-voices.html,2024-04-23T20:11:28+0000,By Anna Betts and Jonathan Wolfe,U.S.,
Kamala Harris Is Speaking. Is She Listening?,https://www.nytimes.com/2024/08/10/opinion/kamala-harris-gaza-detroit.html,2024-08-10T11:00:23+0000,By M. Gessen,Opinion,
Barnard College’s Restrictions on Political Speech Prompt Outcry,https://www.nytimes.com/2024/01/24/nyregion/barnard-college-free-speech-restrictions-israel-hamas-war.html,2024-01-24T08:00:48+0000,By Sharon Otterman,New York,
"In a Portland Library, Activists Fortify for a Standoff",https://www.nytimes.com/2024/05/01/us/portland-state-university-library-protest.html,2024-05-01T13:02:29+0000,"By Kimberly Cortez, Mike Baker and Jordan Gale",U.S.,
Transcript: Ezra Klein Interviews Zack Beauchamp,https://www.nytimes.com/2023/10/31/podcasts/transcript-ezra-klein-interviews-zack-beauchamp.html,2023-10-31T18:44:40+0000,,Podcasts,
PEN America Cancels Literary Awards Ceremony Amid Gaza War Fallout,https://www.nytimes.com/2024/04/22/arts/pen-america-literary-awards.html,2024-04-22T20:46:55+0000,By Jennifer Schuessler,Arts,
